iea_sector,Emissions_2021,APS_Emissions_2030,APS_Emissions_2050,APS_CAAGR_2030,APS_CAAGR_2050,APS_scaling_2030,APS_scaling_2050
Utilities,14276.45,11244.97,3466.38,-0.026172559,-0.047638284,0.787658697,0.242804058
Oil,14276.45,11244.97,3466.38,-0.026172559,-0.047638284,0.787658697,0.242804058
Gas,14276.45,11244.97,3466.38,-0.026172559,-0.047638284,0.787658697,0.242804058
Oil and gas,14276.45,11244.97,3466.38,-0.026172559,-0.047638284,0.787658697,0.242804058
Coal,14276.45,11244.97,3466.38,-0.026172559,-0.047638284,0.787658697,0.242804058
Industry,14276.45,11244.97,3466.38,-0.026172559,-0.047638284,0.787658697,0.242804058
Iron and steel,14276.45,11244.97,3466.38,-0.026172559,-0.047638284,0.787658697,0.242804058
Chemicals,14276.45,11244.97,3466.38,-0.026172559,-0.047638284,0.787658697,0.242804058
Trucking transport,14276.45,11244.97,3466.38,-0.026172559,-0.047638284,0.787658697,0.242804058
Aviation transport,14276.45,11244.97,3466.38,-0.026172559,-0.047638284,0.787658697,0.242804058
Shipping transport,14276.45,11244.97,3466.38,-0.026172559,-0.047638284,0.787658697,0.242804058
Other transport,14276.45,11244.97,3466.38,-0.026172559,-0.047638284,0.787658697,0.242804058
Services buildings,14276.45,11244.97,3466.38,-0.026172559,-0.047638284,0.787658697,0.242804058
Miscellaneous,14276.45,11244.97,3466.38,-0.026172559,-0.047638284,0.787658697,0.242804058
