iea_sector,Emissions_2021,NZE_Emissions_2030,NZE_Emissions_2050,NZE_CAAGR_2030,NZE_CAAGR_2050,NZE_scaling_2030,NZE_scaling_2050
Utilities,14276.45,7055.05,70.68,-0.0753302,-0.1672664,0.49417397,0.00495081
Oil,14276.45,7055.05,70.68,-0.0753302,-0.1672664,0.49417397,0.00495081
Gas,14276.45,7055.05,70.68,-0.0753302,-0.1672664,0.49417397,0.00495081
Oil and gas,14276.45,7055.05,70.68,-0.0753302,-0.1672664,0.49417397,0.00495081
Coal,14276.45,7055.05,70.68,-0.0753302,-0.1672664,0.49417397,0.00495081
Industry,14276.45,7055.05,70.68,-0.0753302,-0.1672664,0.49417397,0.00495081
Iron and steel,14276.45,7055.05,70.68,-0.0753302,-0.1672664,0.49417397,0.00495081
Chemicals,14276.45,7055.05,70.68,-0.0753302,-0.1672664,0.49417397,0.00495081
Trucking transport,14276.45,7055.05,70.68,-0.0753302,-0.1672664,0.49417397,0.00495081
Aviation transport,14276.45,7055.05,70.68,-0.0753302,-0.1672664,0.49417397,0.00495081
Shipping transport,14276.45,7055.05,70.68,-0.0753302,-0.1672664,0.49417397,0.00495081
Other transport,14276.45,7055.05,70.68,-0.0753302,-0.1672664,0.49417397,0.00495081
Services buildings,14276.45,7055.05,70.68,-0.0753302,-0.1672664,0.49417397,0.00495081
Miscellaneous,14276.45,7055.05,70.68,-0.0753302,-0.1672664,0.49417397,0.00495081
