iea_sector,Emissions_2021,STEPS_Emissions_2030,STEPS_Emissions_2050,STEPS_CAAGR_2030,STEPS_CAAGR_2050,STEPS_scaling_2030,STEPS_scaling_2050
Utilities,14276.45,12604.16,9040.83,-0.013747342,-0.015630363,0.882863737,0.633268775
Oil,14276.45,12604.16,9040.83,-0.013747342,-0.015630363,0.882863737,0.633268775
Gas,14276.45,12604.16,9040.83,-0.013747342,-0.015630363,0.882863737,0.633268775
Oil and gas,14276.45,12604.16,9040.83,-0.013747342,-0.015630363,0.882863737,0.633268775
Coal,14276.45,12604.16,9040.83,-0.013747342,-0.015630363,0.882863737,0.633268775
Industry,14276.45,12604.16,9040.83,-0.013747342,-0.015630363,0.882863737,0.633268775
Iron and steel,14276.45,12604.16,9040.83,-0.013747342,-0.015630363,0.882863737,0.633268775
Chemicals,14276.45,12604.16,9040.83,-0.013747342,-0.015630363,0.882863737,0.633268775
Trucking transport,14276.45,12604.16,9040.83,-0.013747342,-0.015630363,0.882863737,0.633268775
Aviation transport,14276.45,12604.16,9040.83,-0.013747342,-0.015630363,0.882863737,0.633268775
Shipping transport,14276.45,12604.16,9040.83,-0.013747342,-0.015630363,0.882863737,0.633268775
Other transport,14276.45,12604.16,9040.83,-0.013747342,-0.015630363,0.882863737,0.633268775
Services buildings,14276.45,12604.16,9040.83,-0.013747342,-0.015630363,0.882863737,0.633268775
Miscellaneous,14276.45,12604.16,9040.83,-0.013747342,-0.015630363,0.882863737,0.633268775
