"assetid","estimated_scope_1_emissions"
183,27448.126953125
187,1179.84338378906
189,46168.96484375
191,2980000
196,41318.7734375
199,34237124.1963549
200,6085439.69849246
201,8016
206,223558.478473063
208,525155.832591273
209,368000
210,22821.74609375
214,10105.7685546875
217,282496.0625
222,5028.74462890625
223,2478.76513671875
225,13747799.2980894
226,2231.3525390625
229,147758
232,16967.4765625
233,435596.254110801
234,3324.08882158896
235,97903.8203125
236,974009
237,1253.61010742188
239,291613.84375
248,323889
249,190473.28125
250,48558.4453125
252,38346
254,7807.15185546875
256,111510
257,7421816.5
259,13954.86328125
263,14928.7529296875
264,73422.6328125
265,2114070.07998632
268,6699.40260256283
270,10608.3818940522
272,13627.3408203125
273,78926
275,2241.40551757812
277,8931
279,2860.90402614767
281,177093.515625
282,107969.407663526
283,318988.875
286,2127.92720113196
287,3811
291,297546.875
294,679592.9375
297,57768.5574260114
300,13597714
306,NULL
309,203017
312,30216.439453125
313,2970.087890625
315,795971.143756558
318,11447
319,46284.1421039546
320,40209000
321,1079054.125
325,41506.9375
327,258630.53125
329,16345900
330,14689002.5328613
331,15158631.8848265
332,392942
335,3226295.75
338,577100
339,4242.3251953125
341,304
342,1008811
345,63
346,62345
348,64510
349,65474.97265625
355,5934669
356,1861774.25
358,605000
366,17400000
370,431308.375
372,18735
376,18396.34765625
379,6995.537109375
382,427370.6875
385,459273.5625
390,1493
394,1211298.375
400,1841.65148925781
402,1374994.375
403,6910
404,4848.66650390625
406,1080000
408,2231.3525390625
411,31985
412,10883.869140625
414,49000
423,180909.203125
424,23474992
427,32821.4765625
430,1961
432,1597.96936035156
435,12110000
437,16180247
441,1280.82568359375
443,16091434
444,299494
445,87033
448,7790
449,56401080
457,1466.80908203125
459,636157
460,57854.4609375
463,112936
466,163837.984375
468,133000
470,28694.1484375
471,9428.2265625
472,9620.39497984418
473,12498.6026735092
473,40106.11328125
476,38057
479,126807.46875
485,5604000
495,8590450
496,49078.03125
497,592
498,9020000
500,1024833.6875
501,40788236
502,13426.806640625
503,3323193.25
504,11303.4716796875
505,106541.0390625
506,12815494
507,25663.34375
508,92999.4609375
512,0
513,1602
515,126937
516,2631.70411645044
517,2772.48
520,1055382
522,9291.0810546875
524,523613.3125
526,4155596
528,54707.30859375
533,49794.6068525384
539,33865.24609375
541,207840.421875
545,23921
549,136645.625
554,377464.5625
557,1819007
558,444650.03
560,7005.23466157245
562,91342.1561567219
564,131100000
565,5240880
567,13700000
573,30430.302734375
579,18900
581,1798236
582,1626312.25
583,2258302.81690141
586,127942.296875
590,31588.703125
591,1069
595,192497.53125
605,31869.845703125
606,6624621.21239042
607,2987729
608,31869.845703125
615,93680.109375
616,1289295.75
618,4602700
620,29802.66796875
622,5433.35595703125
624,3216
627,941.8
628,2214.36081324975
629,17887.6466989362
630,3602
633,43207.978041259
635,61740
637,2663732.9500539
641,61288.6640625
642,63276
645,3714.40576171875
646,245882
649,72164.25
652,1041120.74970803
654,36359.86328125
656,3715.53465346535
658,18967.4375
662,144918.723024242
664,19844.0336200773
669,11965.2328480516
671,870.322509765625
673,111116.853410841
674,1674.38
679,513755
681,23958.068359375
686,22062.40625
688,897.15652173913
689,103000
690,15877.3720703125
691,103098.3203125
694,39686.46484375
696,15161
700,52920.46484375
702,197973.670615237
704,1555
705,216366.973954745
706,13537.41796875
707,78702.8359375
708,1082.88391113281
710,112776.71875
713,1705.86779785156
716,1078.32446289062
718,16474.650374458
720,102538.677641448
721,6499
722,4335.3046875
723,79158
724,510882.59375
725,101.722433067937
728,2337
730,135726.96875
731,417325.221598553
732,162949.601750547
733,450978.288518155
735,14892.37890625
740,51062.3125
744,146774.609375
746,360887.8125
747,67040584
748,100752.8984375
749,1579.66564941406
750,286082
754,18987.9534101544
756,6567009.73789581
757,123650.7421875
758,19431472.2113084
761,320540.04576659
763,1979674.77167596
765,425328.5
766,1173677
770,12541.8759765625
775,550468
776,159014.109375
780,128517.046875
782,125618.290831708
783,53707.60546875
784,102627.9921875
786,15825442
787,3095987.25
789,38603.03515625
790,724346.670600256
791,3426869
792,13069650
793,26515.123046875
795,5155173.5
796,111201.9296875
797,1401373.125
798,110514.2734375
800,10527894
801,16420.390625
802,3782.37646484375
803,6781.28515625
805,12814796
806,513133.84375
808,75120.859375
809,256158.676025347
810,26401.7811704835
815,17704
818,3938.76342773438
820,76
821,40572.33203125
826,15399248
828,246895
830,NULL
831,26028.025390625
837,52526.80078125
838,42955
839,522453.21875
840,10000000
844,52288.80859375
845,33553.0571084073
848,130107.353371515
849,378958.034079826
852,3109.54052734375
853,39387.1836558125
855,10954.390625
857,31403.6563481382
859,88544.234375
861,50105.2734375
863,291613.96875
864,353192
865,5193.14794921875
872,40698.21875
873,797.022216796875
874,253.720336914062
879,7807.544921875
883,12815582
884,8800000
890,133815.093195939
893,579000
894,587797.375
899,1415000
902,62218.6724511931
906,139.9
907,9597.36431966598
908,35558.1545004946
911,107883.4609375
912,1861639.09934451
913,7767.88098836366
914,71233959.3624186
917,42893.03125
918,29414
924,175082.796875
925,1722000
927,104894.1953125
928,12814796
934,319834.375
946,42207.20703125
947,17400.828125
948,18355.544
949,12325.26171875
951,9422.330078125
953,78192
955,171422
960,95077.84375
965,866029.168616486
966,165342.25
967,1901112.95147642
968,87125
969,2155
970,57339.6915581723
978,20623000
980,81837.7890625
981,200436.421875
982,5263.146484375
983,5097.671875
989,273846.96875
990,2135
996,4310000
998,3547146.75
999,469.452484130859
1001,3485.73388671875
1003,16485.8907511792
1005,294618.125
1009,31269.8984375
1010,16432.45703125
1014,1894251.25
1019,100418
1020,3889.72680664062
1022,725455.375
1022,465257
1024,5246105.54710119
1025,7534859.5
1027,2960878.33140209
1028,54432
1029,924504.129924597
1030,122832.394717196
1031,5690.73966397718
1033,8398.80594690265
1034,36683520
1037,15021
1038,107451.9921875
1039,69774.8671875
1042,156473.392490829
1044,179091.546875
1048,21300
1050,75288
1051,106393.015625
1053,117237.65625
1055,20952.12
1056,692470.099373809
1063,7536.77
1068,107633.125
1069,1138674.1136474
1070,3619
1076,25865.005859375
1078,678940.009165903
1080,5237.55517578125
1081,676761.0625
1082,110002.8125
1086,3256490.5
1091,8090.8263822173
1094,291663.375
1096,10475.6357421875
1101,7750436.57402094
1102,46454.375
1103,38823643.8151433
1104,163017.703125
1105,16180135.2551404
1109,4894831.19850012
1111,168908.15625
1115,4124307.92897628
1117,15211.119140625
1118,71000
1122,225769
1124,2259458000
1125,217850.991398591
1125,146628.453125
1130,4975.50048828125
1132,24760545.7263684
1133,16644007
1136,1322.35271158189
1137,12196
1142,90523.8671875
1144,10858.4453125
1145,21343.283203125
1146,156620.109375
1148,100081.133317005
1152,16507.5855985887
1153,277.492645263672
1161,NULL
1162,24775.251953125
1165,46603.1821427587
1166,373206.625
1167,91212.9609375
1168,16971.4765625
1169,12814796
1170,12814796
1171,11838860
1172,9002782
1173,4686322.5
1175,6952156
1176,5150326.37640476
1178,4309643.5
1182,6020.78670483948
1183,14487.3740234375
1186,5447.9814453125
1187,266757.96875
1188,41837.21875
1189,112153.03125
1190,11347928
1191,1570233
1192,361490.429695735
1193,24129349.4307742
1194,28985.40625
1195,10192.42578125
1197,31.09
1198,42713.8203125
1199,15242857.68
1200,24613.421875
1202,8013.47265625
1203,11832.1630859375
1204,27807.130859375
1205,1309025.125
1206,11726788
1207,2973627.75
1210,109922.59375
1211,984.528930664062
1213,2131887.5
1214,149387.866462619
1215,1522110.25
1216,7870429
1217,240622.5
1218,250408.20610843
1219,162514.953125
1220,890341.326759448
1221,62123.27734375
1222,246117781.429141
1224,46800.24609375
1226,940616.375
1227,4524903
1228,14908984
1229,1032903.75
1230,117006374.533763
1231,1565515.875
1232,921333.6875
1234,6916.01416015625
1235,110000
1236,8289710.5
1237,11003.3623046875
1238,128723842.412965
1240,5055040
1241,2911559.32693245
1242,28176.34375
1243,26940.736328125
1244,18504831.2691633
1245,219882.351574519
1246,6292.29015237733
1247,208241.068990664
1248,14670488.4360362
1249,9857.4365234375
1250,6976702.5
1252,2685105
1254,27603.78125
1261,10866.96875
1262,96387.1171875
1263,87995.796875
1264,9314384
1265,92642.1328125
1266,200381.3125
1267,531141.9375
1268,86649.4765625
1269,21995
1270,60910.0222489943
1275,112577
1276,48390.5747438005
1277,31869.845703125
1278,20798.3828125
1279,121834.203125
1280,52484.68359375
1282,22435.9340460214
1283,89100
1284,808061.125
1285,12847.64
1298,22492.705078125
1302,377772
1303,41617
1309,284
1311,26694
1312,15251.6533203125
1313,1117892
1314,NULL
1315,404639.34375
1317,2549.81640625
1319,3336
1321,88455.203125
1322,32226.294921875
1327,377916.160388821
1332,21704.142578125
1334,13629.6558884656
1335,1516052.37049537
1336,18797.857421875
1337,2339
1339,72429772.4526782
1341,47690000
1342,30224.96875
1344,458.105529785156
1346,2664.40307617188
1348,17558176
1350,35587080
1354,953
1356,438.879887937497
1362,195525.899406518
1363,86830.1601679216
1364,120373
1365,188371
1366,823
1368,205405.477737234
1369,172327.59375
1373,27627.93359375
1376,4482427.90664078
1379,44286.8046875
1380,195881.076021156
1383,23100
1384,107586.0859375
1389,1119.63586425781
1394,65558.859375
1395,939178.006438442
1398,484856.71875
1402,199237.15625
1406,7845644.07656492
1407,1170080.69918475
1410,81141.96875
1411,695913.8125
1413,13581744.3313622
1418,222231.471879948
1420,13235.2998046875
1424,15268.376953125
1426,33707
1427,2922.68481445312
1428,4565.57373046875
1432,385568.07008426
1433,127078.8046875
1435,427153
1444,6948.77685546875
1448,15500000
1451,629000
1452,2790000
1459,423.7890625
1460,1044744
1464,759805.701776418
1468,2034297.875
1477,254769.894491888
1478,68414.171875
1486,3139.31023428236
1490,41955.140625
1493,88446.5703125
1496,2444050.2647898
1497,290049.8125
1498,61049.6015625
1499,223711.034141226
1500,955992.6875
1503,52677.49609375
1506,8611.14453125
1507,176334.125
1512,176
1519,622.74920311318
1521,9943792
1522,169071.453125
1523,2748.71508789062
1525,36420
1528,13069.849609375
1530,2636.02465820312
1531,1049402.48222061
1533,1343703.75
1535,207578.03013194
1537,1728.0341796875
1538,150966.462609477
1539,504.225280761719
1541,14342.4736472242
1543,4962.13037109375
1545,7715.3701171875
1547,58272.0390625
1548,35312.57421875
1549,6788.35400390625
1551,75113.59375
1552,3797240.459269
1555,13704.5732421875
1559,258437
1562,1450221.375
1565,169215.923756407
1567,0
1569,12212.7093415213
1581,220807.125
1582,4187341.47640647
1583,5639.82861328125
1585,912007.9375
1586,791202
1587,122184.859375
1588,10918.341796875
1591,227000
1592,1469000
1593,26727.396484375
1594,7865
1596,530.170654296875
1597,26625.3046875
1598,86785
1600,602203
1604,818740.451009807
1605,14196.6162109375
1606,19514
1607,39000.5390625
1608,579525.4375
1609,87000
1611,317505.34375
1616,213621.53125
1617,108641.3515625
1620,646502.819397454
1621,870.322509765625
1622,10164220
1623,1480542.91693921
1625,524027.875
1626,1840.65588378906
1630,4907242
1631,330.914825439453
1634,28928.453125
1635,2883527
1638,66959.1
1642,4827
1645,1048.55395507812
1652,156020.609375
1657,17808
1660,6633.89404296875
1661,121508.578125
1667,1212098
1668,30668.212890625
1669,683000
1670,7519.29378262933
1671,9408.8212890625
1673,25088.3046875
1674,2500.9208984375
1677,8588102.58664232
1678,7300000
1678,17979314
1679,260083.32108398
1680,1690764.21921687
1681,53412.7554043235
1682,143539.984375
1683,11938.4111328125
1686,2069.26000976562
1689,43879.34765625
1691,3818
1696,1129102.01969504
1697,391412.75
1699,3103.01001672049
1700,272865
1701,26170
1702,7629.84423828125
1705,13490.1552734375
1706,10642.4399326484
1707,28470.794921875
1716,79907.265625
1720,5008
1721,658663.0625
1725,12593.4462890625
1726,4948922
1727,326326.480607468
1735,239704
1736,54932
1739,496071.40625
1740,2790152.25
1743,73235.1328125
1744,123047.0703125
1745,806845.3125
1746,223428.59375
1747,13377.560546875
1748,330852.875
1749,30300
1750,35451
1752,18093
1757,20655.837258471
1759,5568118
1760,414375
1762,296243.21897482
1763,349974
1765,2622088.79442926
1770,NULL
1772,2267000
1778,135000
1779,12856.63671875
1780,25516071.6135037
1782,25553
1783,74299375.6625734
1790,308297.845556748
1794,362573.875
1796,3210.6494140625
1798,968082.4375
1799,5291335.7559203
1803,1655865.125
1806,83423.8515625
1807,8549654
1811,193507.875
1813,4995357.11305169
1815,2114961
1817,277972.354223478
1818,8879.4775390625
1819,5558
1820,216934.641543128
1826,29107.292209547
1828,282199
1831,9824680.37412523
1832,28967.201816156
1834,4305.87842351369
1839,26852296
1843,8984737.60208372
1844,14390
1851,13210.869140625
1857,45010
1859,6401706
1861,8955.771484375
1864,15434.5380859375
1867,56966.1875
1870,51110000
1872,27759137.227502
1875,4468
1877,74613.3743611323
1878,76463.0234375
1882,533.85
1883,156573.741956189
1884,763453.5625
1886,174432.190237237
1887,675.230431244915
1888,12674.6435546875
1889,13279.65625
1891,28389
1893,21315.7268429183
1901,130351.639852517
1902,1671.50891113281
1903,7510.349609375
1905,195945
1907,1058.80447210394
1910,725.660755914971
1911,4269291.02966713
1912,6192.54623592695
1913,2044703.5
1914,114610.033285942
1915,64019.1953125
1917,197846.828821408
1922,10107225.8217157
1923,13873.9365234375
1924,42209704.0282903
1927,8157
1931,95541.8671875
1932,533226.0247336
1934,770918.4375
1939,35980498.5234399
1940,15499.1201171875
1941,4025525
1944,45438.69140625
1945,1059543.7513387
1949,589776.25
1950,54822.35546875
1951,33456.0112669745
1953,32820879.0576527
1960,291326.9375
1962,4412590.5
1969,670772.239041574
1972,1388
1974,68844.7207604579
1975,3664125.10566357
1976,7087756.5
1979,1.283
1981,146437.140625
1983,11906.5810546875
1987,15406.625
1988,13677.4560546875
1992,2820.16552734375
1996,1157805.75
1997,9935374
1999,17563.31640625
2010,93621.203125
2012,5444.5283203125
2013,8640929.66319423
2016,7056.28
2018,12725.76171875
2019,272455.625
2020,14132.2333984375
2022,408929.68203374
2023,98433442.8040882
2025,62037.6171875
2028,2066.62109375
2029,25502.49609375
2030,55000
2031,1804.71740722656
2032,2835.09375
2033,2161.7265625
2042,46588.74609375
2043,2505620.25
2044,47059.42
2045,164.7176
2046,96005.8359375
2047,4863.60918745538
2048,16608.103515625
2049,45915.46484375
2050,9469
2051,7645.30712890625
2054,77203.9140625
2056,37220.3984375
2057,5298185
2059,15303.1728515625
2061,16659841
2061,18640148
2064,289749.03125
2065,20715.68359375
2067,648882
2069,761314
2071,867049.476559027
2072,23494.3671875
2074,13294.8740234375
2076,3193
2078,21372.197265625
2080,38477.92578125
2081,17049.19140625
2086,47839
2092,52003.515625
2093,3901000
2094,700696.9375
2095,8536
2096,14656614.6477304
2097,1214769
2098,9675.87109375
2099,1465.42
2101,11954.2431640625
2103,55001.65234375
2105,61906.37109375
2108,1767485.625
2110,5286.6
2111,77283.2136520352
2116,28798.62890625
2117,14809
2118,9336.07022548966
2119,2217.59514839051
2120,14580
2122,102605
2126,771816
2128,6588
2130,32680.3515625
2131,1069906.74
2132,88050.49
2135,1519.39807128906
2136,9613912
2137,7984129.5
2138,3101398.75
2139,36829.796875
2139,225164.975993039
2140,129154.3671875
2141,5028.74462890625
2145,2060000
2146,2180.9921875
2147,460474551.622996
2148,45313.5703125
2149,267536.0625
2150,562177.5625
2151,14143.904296875
2153,19729283.0336766
2155,13176.1806640625
2159,4452
2161,0
2162,5151.94189453125
2163,47158.81640625
2164,1824.07225060479
2165,299142.84375
2166,48500
2171,3380.38589507494
2172,438080.587894355
2175,262600
2176,894470.686286053
2177,499041.798535147
2184,24061.6015625
2185,15853.0146484375
2188,25052.44140625
2190,953259.75
2193,202200
2194,232000
2195,31869.845703125
2196,31869.845703125
2197,15383.3037109375
2198,283298.0625
2199,22834.685546875
2200,25601.5234375
2201,1060.39733886719
2202,160966.515625
2203,565000
2204,25605.96875
2208,75000
2211,1112876.5
2214,31944.736328125
2215,143000
2217,107183.2578125
2218,2231.3525390625
2219,234
2223,422932.875
2226,132279.609375
2227,3281058
2228,5881.62433411464
2230,43114.50390625
2233,26788
2234,42600.47265625
2235,2998
2237,37617.98046875
2238,3438.00708007812
2239,6058250.5
2240,265443.09375
2241,63060.59375
2244,31114.4765625
2245,5743.52734375
2246,12965240
2249,28329926
2251,1084853.25
2252,39465379.469411
2253,29923.2068759623
2255,108549.141396176
2257,163644.093827282
2265,115872.9609375
2267,85898.9216587215
2272,871607.978155052
2274,364000
2277,12663.5322265625
2287,8518.72644328121
2288,138332.90625
2292,68000
2297,649.95
2301,62265.70703125
2303,6753.89265399692
2308,527175.875
2311,14806.20703125
2312,47421.63671875
2313,371843.125
2313,50885.2295282549
2315,7126.814453125
2316,100085.933258101
2317,141901.203125
2320,139602
2321,4621.58251953125
2322,681000
2323,63060.59375
2326,1397.7
2327,64090.08203125
2333,249442.234375
2334,1670332.11557133
2336,6858.744140625
2337,12814796
2338,46773.1171875
2340,371726.15625
2341,2002
2344,252600.40625
2345,20773.361328125
2346,1026341.76222109
2347,1363870
2348,899562.105573936
2350,2305167.61513707
2351,3984.49096679688
2355,879.626220703125
2356,862120.3125
2357,65876.765625
2361,45073
2363,80896.2109375
2365,33949.9765625
2367,38753
2368,53363
2369,7458.41455078125
2371,147708.9375
2374,214303
2375,131767.671875
2377,1535028.57055825
2383,220803.859375
2384,151678.21
2385,47041.16015625
2386,85062.71875
2387,48002.09375
2388,1746.24658203125
2389,3844.71923828125
2394,1806.59204101562
2395,56591.83203125
2396,147669
2397,113086.23587492
2398,114939.6484375
2399,16468.75390625
2400,2112
2401,1903606.96336206
2402,3196.82080078125
2403,1098215.73442282
2404,111465.1328125
2407,3319511
2409,45211.8738147381
2410,195964.984375
2412,12501.083984375
2415,52797.37109375
2416,282984.5625
2418,3148.12841796875
2419,912.938903808594
2420,2983.455078125
2421,12814796
2422,167113.359375
2423,1430616.125
2424,4271.47
2428,5010566.5
2429,7509466
2430,2454227
2431,14529.185546875
2432,146374.9375
2433,7512.35009765625
2434,3087807.25
2435,142868.921875
2438,48271.76171875
2440,2293.1142578125
2443,4979.033203125
2445,92951.6640625
2446,3268585.75
2447,4094.92333984375
2448,4307.16943359375
2449,505000
2454,84146.3125
2456,1181.42517089844
2457,12814796
2458,13671.041015625
2461,4036159.25
2464,5242.947265625
2467,31078.818359375
2468,3793.5048828125
2470,13095
2471,46000
2472,2231070.13702055
2473,4205
2476,2503.96069335938
2477,75812.9760211543
2478,2183
2485,200915
2486,4970.71547088028
2487,56474
2488,31531.951171875
2492,3010.3583984375
2495,144727.84375
2496,11550040
2497,55244.09765625
2498,3356.17724609375
2500,291606.71875
2504,23999.6624634834
2506,13590.404296875
2507,136129
2509,14662.447265625
2510,287045.463433148
2511,4338.52685546875
2513,43697.16015625
2514,6312.93744017233
2517,NULL
2518,3244
2523,20744.36
2524,22482.07421875
2528,24176.205078125
2530,45235.3046875
2532,770757.75
2537,51389
2538,43932.25
2539,69045109
2540,62316.60546875
2542,44867.33984375
2543,12833.2255859375
2544,2189
2545,181609.93515644
2547,1821301
2548,23529.2024007992
2549,1088814.625
2551,12742.0439453125
2552,3443768.25
2553,1595.39733886719
2554,870.322509765625
2555,374102.080048354
2556,4615755
2557,277242.75
2558,59198.57421875
2560,46281.62109375
2561,58749.4765625
2562,343000
2563,12684
2564,21955
2564,96928.3515625
2568,8048.472606672
2571,79885.46875
2572,18754.2531870154
2573,37363
2574,2470702
2577,18616.654296875
2580,7609.87060546875
2584,8349.97265625
2585,40562
2586,48296.58203125
2590,12419.0947265625
2591,18213.123046875
2593,3986906.5
2594,17188892
2596,4489443
2597,1867
2598,11640.67578125
2599,99608.3828125
2602,92873
2607,137397.09375
2610,2578060
2612,1220000
2614,10676.0423765875
2615,13411.6796875
2622,51472.1066838136
2623,1788.65502929688
2624,37826.3737600173
2627,26303.515625
2628,15249.2978515625
2630,67755.7109375
2632,119300000
2635,4838502.7092097
2637,79267.0066982118
2638,12386.88671875
2639,14467.1318359375
2643,13698
2645,160639.315659262
2646,1120000
2647,1375116.614431
2648,893000
