economic_sector,industry,iea_sector,iea_scope3
Commercial Services,Advertising/Marketing Services,Services buildings,General
Commercial Services,Financial Publishing/Services,Services buildings,General
Commercial Services,Commercial Printing/Forms,Services buildings,General
Commercial Services,Personnel Services,Services buildings,General
Commercial Services,Miscellaneous Commercial Services,Services buildings,General
Communications,Specialty Telecommunications,Services buildings,General
Communications,Wireless Telecommunications,Services buildings,General
Communications,Major Telecommunications,Services buildings,General
Consumer Durables,Tools & Hardware,Industry,General
Consumer Durables,Recreational Products,Industry,General
Consumer Durables,Homebuilding,Industry,General
Consumer Durables,Other Consumer Specialties,Industry,General
Consumer Durables,Home Furnishings,Industry,General
Consumer Durables,Automotive Aftermarket,Industry,General
Consumer Durables,Motor Vehicles,Industry,Other transport
Consumer Durables,Electronics/Appliances,Industry,General
Consumer Non-Durables,Beverages: Non-Alcoholic,Industry,General
Consumer Non-Durables,Beverages: Alcoholic,Industry,General
Consumer Non-Durables,Food: Specialty/Candy,Industry,General
Consumer Non-Durables,Consumer Sundries,Industry,General
Consumer Non-Durables,Household/Personal Care,Industry,General
Consumer Non-Durables,Food: Meat/Fish/Dairy,Industry,General
Consumer Non-Durables,Food: Major Diversified,Industry,General
Consumer Non-Durables,Tobacco,Industry,General
Consumer Non-Durables,Apparel/Footwear,Industry,General
Consumer Services,Media Conglomerates,Services buildings,General
Consumer Services,Hotels/Resorts/Cruise lines,Services buildings,General
Consumer Services,Casinos/Gaming,Services buildings,General
Consumer Services,Publishing: Books/Magazines,Services buildings,General
Consumer Services,Movies/Entertainment,Services buildings,General
Consumer Services,Publishing: Newspapers,Services buildings,General
Consumer Services,Broadcasting,Services buildings,General
Consumer Services,Other Consumer Services,Services buildings,General
Consumer Services,Restaurants,Services buildings,General
Consumer Services,Hotels/Resorts/Cruiselines,Services buildings,General
Consumer Services,Cable/Satellite TV,Services buildings,General
Distribution Services,Electronics Distributors,Services buildings,General
Distribution Services,Wholesale Distributors,Services buildings,General
Distribution Services,Medical Distributors,Services buildings,General
Distribution Services,Food Distributors,Services buildings,General
Electronic Technology,Semiconductors,Industry,General
Electronic Technology,Computer Peripherals,Industry,General
Electronic Technology,Electronic Components,Industry,General
Electronic Technology,Electronic Equipment/Instruments,Industry,General
Electronic Technology,Electronic Production Equipment,Industry,General
Electronic Technology,Computer Communications,Industry,General
Electronic Technology,Telecommunications Equipment,Industry,General
Electronic Technology,Computer Processing Hardware,Industry,General
Electronic Technology,Aerospace & Defense,Industry,Aviation transport
Energy Minerals,Integrated Oil,Oil,Oil
Energy Minerals,Oil Refining/Marketing,Oil,Oil
Energy Minerals,Oil & Gas Production,Oil and gas,Oil and gas
Energy Minerals,Coal,Coal,Coal
Finance,Savings Banks,Services buildings,General
Finance,Property/Casualty Insurance,Services buildings,General
Finance,Specialty Insurance,Services buildings,General
Finance,Life/Health Insurance,Services buildings,General
Finance,Insurance Brokers/Services,Services buildings,General
Finance,Investment Managers,Services buildings,General
Finance,Finance/Rental/Leasing,Services buildings,General
Finance,Real Estate Investment Trusts,Services buildings,General
Finance,Real Estate Development,Services buildings,General
Finance,Major Banks,Services buildings,General
Finance,Multi-Line Insurance,Services buildings,General
Finance,Financial Conglomerates,Services buildings,General
Finance,Regional Banks,Services buildings,General
Finance,Investment Banks/Brokers,Services buildings,General
Government,Supranational,Services buildings,General
Government,General Government,Services buildings,General
Government,Sovereign,Services buildings,General
Health Services,Medical/Nursing Services,Services buildings,General
Health Services,Hospital/Nursing Management,Services buildings,General
Health Services,Services to the Health Industry,Services buildings,General
Health Services,Managed Health Care,Services buildings,General
Health Technology,Pharmaceuticals: Generic,Industry,General
Health Technology,Pharmaceuticals: Other,Industry,General
Health Technology,Biotechnology,Industry,General
